# index, meta, _pos
533,Irkeshtam,"array([1.83097714, 1.01424162])"
534,A Coruña,"array([2.81413907, 4.08596323])"
535,Bilbao,"array([2.82433767, 4.00421877])"
536,Clermont-Ferrand,"array([2.76118391, 3.69665762])"
537,Chambéry,"array([2.88785559, 3.62874435])"
538,Susa,"array([2.99571124, 3.66531427])"
539,Turin,"array([3.10458541, 3.68312815])"
540,Tortona,"array([3.21374215, 3.70652901])"
541,Brescia,"array([3.29729561, 3.62267714])"
542,Trieste,"array([3.55310508, 3.03484303])"
543,Postojna,"array([3.5477671 , 2.97821742])"
544,Ljubljana,"array([3.51868022, 2.92098037])"
545,Slavonski Brod,"array([3.60581643, 2.65598327])"
546,Vršac,"array([3.61472973, 2.44720084])"
547,Timişoara,"array([3.55206261, 2.38874673])"
548,Drobeta-Turnu Severin,"array([3.62137586, 2.32664118])"
549,Craiova,"array([3.54498618, 2.2250763 ])"
550,Alexandria,"array([3.49414633, 2.14251201])"
551,Razgrad,"array([3.54621199, 1.98203238])"
552,Shumen,"array([3.5513328 , 1.94315386])"
553,Varna,"array([3.49131556, 1.93619081])"
554,Ordu,"array([2.77794664, 1.11287333])"
555,Giresun,"array([2.77329622, 1.17256176])"
556,Trabzon,"array([2.77121896, 1.24040315])"
557,Batumi,"array([2.77614392, 1.32007865])"
558,Lisbon,"array([2.71659327, 4.14397316])"
559,Valladolid,"array([2.73958416, 4.07518809])"
560,Toulouse,"array([2.82933605, 3.79835398])"
561,Nice,"array([2.99803552, 3.79693678])"
562,Sofia,"array([3.81987648, 2.2480539 ])"
563,Plovdiv,"array([3.86159793, 2.12027287])"
564,Istanbul,"array([3.89985432, 1.99297448])"
565,İzmit,"array([3.9320552 , 1.86896283])"
566,Gerede,"array([3.91355514, 1.78638045])"
567,Amasya,"array([3.87519915, 1.728436  ])"
568,Erzurum,"array([3.84517785, 1.67368969])"
569,Gürbulak,"array([3.82019953, 1.62487168])"
570,Iran,"array([3.7998541 , 1.58404762])"
571,Mazara del Vallo,"array([1.97763412, 2.34976413])"
572,Palermo,"array([1.99978393, 2.31404585])"
573,Reggio Calabria,"array([3.60426939, 4.11819807])"
574,Metaponto,"array([3.59851966, 4.07071672])"
575,Taranto,"array([3.54721741, 4.03799285])"
576,Ioannina,"array([4.26684725, 2.30414324])"
577,Gelibolu,"array([4.08557086, 1.99236099])"
578,Lapseki,"array([4.01487219, 1.75529063])"
579,Bursa,"array([3.98757053, 1.78707141])"
580,Ankara,"array([3.98266412, 1.70011106])"
581,Adana,"array([3.96714147, 1.62927344])"
582,Nusaybin,"array([3.95843152, 1.56650174])"
583,Khabur River,"array([3.95247503, 1.51211323])"
584,Iraq,"array([3.94860766, 1.46658933])"
585,Larne,"array([1.66750823, 2.34640656])"
586,Belfast,"array([1.70423168, 2.37171225])"
587,Newry,"array([1.74301903, 2.39938622])"
588,Dundalk,"array([1.77906712, 2.42652369])"
589,Drogheda,"array([1.81160575, 2.45760463])"
590,Pontevedra,"array([2.79782716, 4.15822895])"
591,Valença,"array([2.76667966, 4.21803154])"
592,Porto,"array([2.7167232 , 4.25495402])"
593,Albufeira,"array([2.69822626, 4.19026461])"
594,Castro Marim,"array([2.66019981, 4.21278191])"
595,Huelva,"array([2.63988802, 4.17292904])"
596,Cherbourg-Octeville,"array([2.61555009, 3.69126156])"
597,La Rochelle,"array([2.60360832, 3.77028529])"
598,Trelleborg,"array([0.6549163 , 2.64534487])"
599,Oslo,"array([0.47527245, 2.3514638 ])"
600,Hamar,"array([0.50184411, 2.27243987])"
601,Lillehammer,"array([0.53676656, 2.19873811])"
602,Dombås,"array([0.57971331, 2.12844996])"
603,Trondheim,"array([0.64546967, 2.12553442])"
604,Stjørdal,"array([0.7040112 , 2.08512874])"
605,Steinkjer,"array([0.76767346, 2.0590848 ])"
606,Mosjøen,"array([0.83430486, 2.05222305])"
607,Mo i Rana,"array([0.90168481, 2.05620237])"
608,Rognan,"array([0.90373637, 2.00565828])"
609,Fauske,"array([0.9013384 , 1.96136252])"
610,Ballangen,"array([1.24876015, 2.12340995])"
611,Setermoen,"array([1.33156307, 2.1623047 ])"
612,Alta,"array([1.41564992, 2.15915908])"
613,Olderfjord,"array([1.50401818, 2.15493587])"
614,Lakselv,"array([1.5972512 , 2.14241157])"
615,Karasjok,"array([1.69366138, 2.12619885])"
616,"Pau, Pyrénées-Atlantiques","array([2.95318767, 4.2236401 ])"
617,Jaca,"array([2.93205608, 4.18053412])"
618,Zaragoza,"array([2.90477149, 4.1279742 ])"
619,Vierzon,"array([2.75152398, 3.54809095])"
620,Montluçon,"array([2.74332653, 3.62358586])"
621,Montpellier,"array([2.73115841, 3.74097238])"
622,Doncaster,"array([1.80167832, 3.14196906])"
623,Sheffield,"array([1.83374093, 3.10513959])"
624,Nottingham,"array([1.85386601, 3.06180435])"
625,Leicester,"array([1.86437438, 3.01357593])"
626,Northampton,"array([1.87314349, 2.95863404])"
627,Antwerp,"array([2.50849927, 3.55646962])"
628,Martigny,"array([2.94624107, 3.5671922 ])"
629,Sarreguemines,"array([2.52345604, 3.26483372])"
630,Ludwigshafen,"array([2.30518335, 3.62277885])"
631,La Spezia,"array([3.40566444, 3.68550231])"
632,Bremen,"array([2.47894425, 3.19521981])"
633,Orkanger,"array([0.58507933, 2.08838029])"
634,Vinjeøra,"array([0.52360667, 2.05709927])"
635,Halsa,"array([0.47186925, 2.02323501])"
636,Straumsnes,"array([0.42680649, 1.98832272])"
637,Kristiansund Mainland Connection,"array([0.387201  , 1.95308687])"
638,Batnfjordsøra,"array([0.35263181, 1.91847679])"
639,Molde,"array([0.32445194, 1.88621165])"
640,Vestnes,"array([0.51855978, 1.82785877])"
641,Skodje,"array([0.5408854 , 1.86733836])"
642,Ålesund,"array([0.57419418, 1.90963263])"
643,Volda,"array([0.60350032, 1.864856  ])"
644,Nordfjordeid,"array([0.6216849, 1.8235147])"
645,Sandane,"array([1.53751406, 2.41463711])"
646,Førde,"array([1.5166035 , 2.44612744])"
647,Lavik,"array([1.49306199, 2.47737986])"
648,Instefjord,"array([0.14679075, 2.86943281])"
649,Knarvik,"array([0.17644049, 2.83669733])"
650,Bergen,"array([0.21524508, 2.80433013])"
651,Os,"array([0.23843085, 2.84245004])"
652,Stord,"array([3.11578845, 1.6615162 ])"
653,Sveio,"array([3.15387872, 1.67208468])"
654,Aksdal,"array([3.19360604, 1.68357608])"
655,Bokn,"array([3.23156932, 1.69531403])"
656,Rennesøy,"array([-0.03924263,  1.84281909])"
657,Randaberg,"array([-0.04038672,  1.88428937])"
658,Stavanger,"array([-0.03965863,  1.92978325])"
659,Sandnes,"array([-0.03517107,  1.97685178])"
660,Helleland,"array([-0.02501182,  2.02369085])"
661,Flekkefjord,"array([-0.00799603,  2.06896664])"
662,Lyngdal,"array([0.01702615, 2.11082763])"
663,Mandal,"array([0.0491187 , 2.14800885])"
664,Kristiansand,"array([0.08813599, 2.17931501])"
665,Hirtshals,"array([2.00073681, 3.30758153])"
666,Hjørring,"array([2.02893685, 3.27327198])"
667,Nørresundby,"array([2.06523729, 3.23449857])"
668,Dortmund,"array([2.58773062, 3.24869527])"
669,Aschaffenburg,"array([2.77893491, 3.24390252])"
670,Stuttgart,"array([2.951657  , 3.26255848])"
671,Schaffhausen,"array([3.0100479 , 3.31053659])"
672,Ulm,"array([3.00561773, 3.2174032 ])"
673,Lindau,"array([3.07837108, 3.25900021])"
674,Buchs,"array([3.21508577, 3.41600891])"
675,Chur,"array([3.25045358, 3.45358824])"
676,San Bernardino,"array([3.25422987, 3.49773053])"
677,Rødby,"array([0.62458621, 2.92767094])"
678,Puttgarden,"array([2.33524587, 2.98256894])"
679,Oldenburg in Holstein,"array([2.38357801, 2.99438155])"
680,Lübeck,"array([2.44643698, 3.00795761])"
681,Halle,"array([2.64500712, 3.05374053])"
682,Plauen,"array([2.74217732, 3.02229194])"
683,Schönberg,"array([2.8098935, 2.9979563])"
684,Vojtanov,"array([2.87033665, 2.98395271])"
685,Cheb,"array([2.93140062, 2.9780705 ])"
686,Karlovy Vary,"array([2.988817  , 2.93540705])"
687,České Budějovice,"array([3.10345597, 2.90704182])"
688,Halámky,"array([3.16306855, 2.85495429])"
689,Leipzig,"array([2.62561931, 2.95271138])"
690,Hirschberg,"array([2.76394035, 3.00128656])"
691,Hof,"array([2.81301606, 3.04583001])"
692,Bayreuth,"array([2.89637081, 3.08449581])"
693,Bayerisch Eisenstein,"array([3.05758623, 3.03186478])"
694,Deggendorf,"array([3.0726883 , 3.10197503])"
695,Liezen,"array([3.26901412, 2.98319143])"
696,Sankt Michael,"array([3.30649514, 2.92886959])"
697,Graz,"array([3.34217352, 2.87661812])"
698,Maribor,"array([3.45529357, 2.85877632])"
699,Spielfeld,"array([3.40107145, 2.8563129 ])"
700,Karavanke Tunnel,"array([3.41629569, 3.0363806 ])"
701,Naklo,"array([3.46794235, 2.98153722])"
702,Kemijärvi,"array([1.43606636, 1.9236132 ])"
703,Posio,"array([1.41448631, 1.8681376 ])"
704,Kuusamo,"array([1.41570359, 1.81670266])"
705,Kajaani,"array([1.45237913, 1.78704581])"
706,Iisalmi,"array([1.50236938, 1.79683683])"
707,Kuopio,"array([1.54797327, 1.83113943])"
708,Tampere,"array([1.65680287, 1.91814677])"
709,Turku,"array([1.64470673, 1.95565224])"
710,Riga,"array([2.49347195, 2.3419577 ])"
711,Kłodzko,"array([2.82544305, 2.72482469])"
712,Kudowa-Zdrój,"array([2.8895735 , 2.74038559])"
713,Náchod,"array([2.95129489, 2.76410409])"
714,Hradec Králové,"array([3.00881485, 2.80034601])"
715,Nordkapp,"array([1.47933582, 2.18828349])"
716,Miskolc,"array([3.2627403 , 2.51859496])"
717,Balatonvilágos,"array([3.40758227, 2.64787338])"
718,Knin,"array([3.6483368 , 2.83643787])"
719,Szekszárd,"array([3.42428562, 2.58470665])"
720,Mohács,"array([3.51184682, 2.59927228])"
721,Osijek,"array([3.59886814, 2.61037661])"
722,Đakovo,"array([3.68926255, 2.65122603])"
723,Šamac,"array([3.77917643, 2.68983319])"
724,Zenica,"array([3.86354007, 2.71362199])"
725,Mostar,"array([3.91664013, 2.72076108])"
726,Metković,"array([3.96401261, 2.7240141 ])"
727,Šiauliai,"array([2.49218332, 2.41743747])"
728,Tolpaki,"array([2.50314874, 2.49664283])"
729,Kaliningrad,"array([2.53793915, 2.56101859])"
730,Elbląg,"array([2.64835207, 2.59150296])"
731,Radom,"array([2.82432631, 2.56178484])"
732,Trstená,"array([3.01154991, 2.57657363])"
733,Ružomberok,"array([3.10652475, 2.58050694])"
734,Zvolen,"array([3.20696579, 2.58632437])"
735,Debrecen,"array([3.29588999, 2.46517672])"
736,Berettyóújfalu,"array([3.33136291, 2.41281397])"
737,Beiuş,"array([3.39380244, 2.34213904])"
738,Deva,"array([3.445748  , 2.31769837])"
739,Petroşani,"array([3.49768416, 2.30050595])"
740,Târgu Jiu,"array([3.53597951, 2.2696204 ])"
741,Calafat,"array([3.58785763, 2.20590021])"
742,Vidin,"array([3.72391401, 2.22360833])"
743,Vraca,"array([3.75106605, 2.19789764])"
744,Botevgrad,"array([3.78334574, 2.18191346])"
745,Blagoevgrad,"array([3.91492387, 2.22481826])"
746,Serres,"array([4.00750006, 2.20424826])"
747,Halmeu,"array([3.12426429, 2.27512842])"
748,Satu Mare,"array([3.23296985, 2.3105407 ])"
749,Zalău,"array([3.27281314, 2.28761383])"
750,Sebeş,"array([3.39834919, 2.23659802])"
751,Sibiu,"array([3.44416362, 2.23475469])"
752,Piteşti,"array([3.46820392, 2.16863337])"
753,Pleven,"array([3.68085186, 2.07308569])"
754,Jablanica,"array([3.73513101, 2.12322852])"
755,Izmail,"array([2.95318158, 2.02030075])"
756,Reni,"array([3.06105798, 2.00533151])"
757,Galaţi,"array([3.16309741, 1.98847076])"
758,Tulcea,"array([3.2727832 , 1.97466054])"
759,Burgas,"array([3.58696963, 1.89781915])"
760,Malko Tarnovo,"array([3.65472361, 1.854812  ])"
761,Dereköy,"array([3.73198114, 1.84668738])"
762,Kırklareli,"array([3.8061926 , 1.86150172])"
763,Babaeski,"array([3.87793883, 1.8890165 ])"
764,Havsa,"array([3.95146938, 1.9201377 ])"
765,Keşan,"array([4.02263704, 1.95141024])"
766,Ayvalık,"array([4.13829882, 1.92005322])"
767,İzmir,"array([4.17967338, 1.84263937])"
768,Selçuk,"array([4.24703602, 1.81260432])"
769,Aydın,"array([4.30160991, 1.780345  ])"
770,Denizli,"array([4.34723464, 1.74626755])"
771,Acıpayam,"array([4.38691255, 1.71090451])"
772,Korkuteli,"array([4.42070802, 1.67660841])"
773,Antalya,"array([4.44866462, 1.64554952])"
774,Kızılcahamam,"array([3.94248244, 1.73624275])"
775,Toprakkale,"array([2.15230992, 2.71785657])"
776,İskenderun,"array([2.14983416, 2.67738687])"
777,Antakya,"array([2.1465045 , 2.63580256])"
778,Yayladağı,"array([2.14217092, 2.59350734])"
779,Syria,"array([2.1391051, 2.5544736])"
780,Kherson,"array([2.74680426, 1.87981789])"
781,Dzhankoy,"array([2.67253359, 1.85512003])"
782,Sochi,"array([2.6394575 , 1.75388589])"
783,Sukhumi,"array([2.68789343, 1.6608698 ])"
784,Zugdidi,"array([2.74303836, 1.57035765])"
785,Şanlıurfa,"array([2.57345109, 0.54281016])"
786,Diyarbakır,"array([2.57821367, 0.58516373])"
787,Bitlis,"array([2.58293894, 0.63158496])"
788,Doğubeyazit,"array([2.58726449, 0.68016045])"
789,Iğdir,"array([2.59048455, 0.73189045])"
790,Dilucu,"array([2.59267379, 0.78631534])"
791,Sadarak,"array([2.59426776, 0.84366494])"
792,Jönköping,"array([0.63023753, 2.53717196])"
793,Linköping,"array([0.67198072, 2.52692313])"
794,Norrköping,"array([0.70331157, 2.50660373])"
795,Södertälje,"array([0.71485834, 2.43352765])"
796,Uppsala,"array([0.74680606, 2.28778364])"
797,Sundsvall,"array([0.78426614, 2.21084079])"
798,Örnsköldsvik,"array([0.87557189, 2.1554242 ])"
799,Umeå,"array([0.96085721, 2.09437393])"
800,Haparanda,"array([1.16281855, 2.00667208])"
801,Tornio,"array([1.25810389, 1.95755721])"
802,Tromsø,"array([1.08096729, 1.74545884])"
803,Nordkjosbotn,"array([1.10799965, 1.77993288])"
804,Skibotn,"array([1.14020513, 1.81930148])"
805,Kilpisjärvi,"array([1.17579454, 1.86232541])"
806,Kolari,"array([1.2149284 , 1.90849291])"
807,Kokkola,"array([1.53678793, 1.9144044 ])"
808,Vaasa,"array([1.5947381 , 1.92284752])"
809,Pori,"array([1.60473257, 1.95983819])"
810,Hämeenlinna,"array([1.74926181, 1.93938137])"
811,Derry,"array([1.72504604, 2.33292131])"
812,Arna,"array([0.23844653, 2.75361031])"
813,Voss,"array([0.26481119, 2.70346048])"
814,Lærdal,"array([0.29405279, 2.65085996])"
815,Tyin,"array([0.32581782, 2.59639226])"
816,Fagernes,"array([0.35962969, 2.53970646])"
817,Hønefoss,"array([0.39513207, 2.48059507])"
818,Sandvika,"array([0.43307105, 2.41753682])"
819,Craigavon,"array([1.6746949 , 2.40376232])"
820,Stranraer,"array([2.02293901, 2.91196864])"
821,Gretna,"array([1.9784376 , 2.90755032])"
822,Carlisle,"array([1.92318518, 2.90561069])"
823,Arendal,"array([0.13174895, 2.20574049])"
824,Porsgrunn,"array([0.1791078 , 2.22893736])"
825,Larvik,"array([0.22914704, 2.25131182])"
826,Sandefjord,"array([0.281817 , 2.2755835])"
827,Horten,"array([0.33636428, 2.30433883])"
828,Drammen,"array([0.39092853, 2.34110629])"
829,Askim,"array([0.5153574 , 2.38071519])"
830,Karlstad,"array([0.57071379, 2.39520437])"
831,Västerås,"array([0.64838377, 2.40583006])"
832,Stockholm/Kapellskär,"array([0.65803043, 2.44331546])"
833,Turku/Naantali,"array([1.85044116, 1.91007674])"
834,Kotka,"array([1.97000492, 1.99571803])"
835,Vaalimaa,"array([2.0952103 , 2.04198209])"
836,Vyborg,"array([2.22128197, 2.09017868])"
837,Holyhead,"array([1.89021245, 3.32815779])"
838,Chester,"array([1.86630993, 3.29633914])"
839,Warrington,"array([1.83741187, 3.26621256])"
840,Immingham,"array([1.76482945, 3.11998878])"
841,Groningen,"array([2.44379141, 3.29454113])"
842,Sassnitz,"array([2.44567489, 2.9373546 ])"
843,Kalmar,"array([0.67271877, 2.57276419])"
844,Ventspils,"array([2.44738387, 2.35078557])"
845,Rēzekne,"array([2.49979614, 2.27290739])"
846,Velikiye Luki,"array([2.48600305, 2.18093098])"
847,Vladimir,"array([2.39182283, 2.02176002])"
848,Nizhny Novgorod,"array([2.32324888, 1.9430147 ])"
849,Kazan,"array([2.2604062 , 1.86429534])"
850,Yelabuga,"array([2.2021175, 1.7850544])"
851,Perm,"array([2.13092993, 1.73587193])"
852,Yekaterinburg,"array([2.06465701, 1.68453128])"
853,Tyumen,"array([2.00584191, 1.6264296 ])"
854,Cambridge,"array([1.76463009, 2.78746371])"
855,Koszalin,"array([2.46685927, 2.74005116])"
856,Słupsk,"array([2.49046547, 2.68785796])"
857,Gdynia,"array([2.53463447, 2.64745483])"
858,Nesterov,"array([2.54074584, 2.50633911])"
859,Marijampolė,"array([2.58344286, 2.48344182])"
860,Harwich,"array([1.87471195, 2.79651175])"
861,Zeebrugge,"array([2.51070252, 3.49166897])"
862,Venlo,"array([2.44898596, 3.42386181])"
863,Cottbus,"array([2.69862973, 2.84092245])"
864,Kursk,"array([2.57378525, 2.01038349])"
865,Saratov,"array([2.44393896, 1.83062256])"
866,Aktobe,"array([2.3032565 , 1.63255642])"
867,Karabutak,"array([2.22941227, 1.54940161])"
868,Aral,"array([2.15562412, 1.46901696])"
869,Novokazalinsk,"array([2.07908391, 1.39283923])"
870,Dunkirk,"array([2.41022716, 3.77907708])"
871,Lille,"array([2.44790286, 3.73998235])"
872,Mons,"array([2.49728491, 3.68768091])"
873,Charleroi,"array([2.56400619, 3.62123725])"
874,Namur,"array([2.52283166, 3.5973521 ])"
875,St. Vith,"array([2.58384589, 3.47784982])"
876,Wittlich,"array([2.61018256, 3.41061981])"
877,Bingen,"array([2.62840898, 3.35851719])"
878,Wiesbaden,"array([2.65936017, 3.31046653])"
879,Amiens,"array([2.66291118, 3.56813989])"
880,Charleville-Mézières,"array([2.61780759, 3.53878869])"
881,Trier,"array([2.69108732, 3.41163832])"
882,Koblenz,"array([2.68102573, 3.3427279 ])"
883,Caen,"array([2.64018361, 3.59168484])"
884,Rouen,"array([2.67899131, 3.46502764])"
885,Schweinfurt,"array([2.89253327, 3.12094843])"
886,Marktredwitz,"array([2.91721435, 3.03256443])"
887,Appenweier,"array([2.88238339, 3.37416596])"
888,Chaumont,"array([2.80995244, 3.49620972])"
889,Waldshut,"array([3.03499302, 3.34043502])"
890,Regensburg,"array([3.02940396, 3.11600428])"
891,Passau,"array([3.09598952, 3.07735394])"
892,Wels,"array([3.15680615, 3.05227204])"
893,Iaşi,"array([3.06176838, 2.1039787 ])"
894,Sculeni,"array([3.01252787, 2.0392589 ])"
895,Chişinău,"array([2.95794743, 1.98149917])"
896,Mykolaiv,"array([2.79924833, 1.95234662])"
897,Melitopol,"array([2.75643379, 1.81620216])"
898,Taganrog,"array([2.76600126, 1.75898414])"
899,Poitiers,"array([2.79022155, 3.33085097])"
900,Mâcon,"array([2.81592008, 3.42833882])"
901,Sion,"array([3.02354181, 3.59292784])"
902,Simplon,"array([3.09300196, 3.61559245])"
903,Gravellona Toce,"array([3.15593063, 3.63813305])"
904,Innichen,"array([3.41264031, 3.22941898])"
905,Spittal an der Drau,"array([3.38435292, 3.1537322 ])"
906,Klagenfurt,"array([3.36408208, 2.97668289])"
907,Veszprém,"array([3.3850387 , 2.89968029])"
908,Székesfehérvár,"array([3.42795055, 2.91353667])"
909,Arad,"array([3.44141022, 2.39623739])"
910,Cuneo,"array([3.05137276, 3.81508046])"
911,Asti,"array([3.10193914, 3.79349605])"
912,Pisa,"array([3.42855671, 3.79393667])"
913,Migliarino,"array([3.3971922 , 3.76547141])"
914,Grosseto,"array([3.73277571, 3.76599516])"
915,Arezzo,"array([3.6846279, 3.7589894])"
916,Sansepolcro,"array([3.62443205, 3.75255649])"
917,Vila Real,"array([2.68721662, 4.36557115])"
918,Bragança,"array([2.64704995, 4.45533602])"
919,Zamora,"array([2.6608132 , 4.50922702])"
920,Tordesillas,"array([2.67340129, 4.55456504])"
921,Tekirdağ,"array([4.05159305, 1.92028481])"
922,Silivri,"array([4.07582376, 1.88811232])"
923,Kristalopigi,"array([3.77937763, 3.29800473])"
924,Florina,"array([3.74061781, 3.29386891])"
925,Vévi,"array([3.69995006, 3.28545228])"
926,Géfira,"array([3.66215561, 3.27430858])"
927,Yozgat,"array([4.02206214, 1.6498772 ])"
928,Sivas,"array([4.05244172, 1.60349215])"
929,Refahiye,"array([4.07552779, 1.56332917])"
930,Trikala,"array([4.2614876 , 2.25622632])"
931,Volos,"array([4.29240372, 2.2171367 ])"
932,Megara,"array([4.62312527, 2.50239767])"
933,Attiki Odos,"array([4.66687798, 2.4966651 ])"
934,Usak,"array([4.19552477, 1.78284377])"
935,Afyonkarahisar,"array([4.21196314, 1.7299062 ])"
936,Sivrihisar,"array([4.22608768, 1.68630807])"
937,Topboğazi,"array([3.82390888, 3.14587812])"
938,Kırıkhan,"array([3.78549879, 3.13563971])"
939,Reyhanlı,"array([3.7453102 , 3.12623913])"
940,Cilvegözü,"array([3.70634882, 3.1195068 ])"
941,Sadakhlo,"array([2.94263957, 1.11302245])"
942,Bagratashen,"array([2.95345184, 1.05877778])"
943,Vanadzor,"array([2.96395965, 1.01411813])"
944,Saatly Rayon,"array([2.60677081, 1.18697862])"
945,Mehgri,"array([2.60207031, 1.10894834])"
946,Ordubad,"array([2.59900517, 1.03620036])"
947,Djulfa,"array([2.59718421, 0.96748066])"
948,Nakhchivan,"array([2.5957094 , 0.90357227])"
949,Uchkuduk,"array([2.22987118, 1.19866932])"
950,Gaudan,"array([2.30821736, 1.15603599])"
951,Kzylorda,"array([2.19671044, 1.22391262])"
952,Guza,"array([2.07357682, 1.16947813])"
953,Kokand,"array([1.92935333, 1.08361184])"
954,Andijan,"array([1.87699667, 1.07810743])"
955,Osh,"array([1.82724563, 1.08021815])"
956,Kulob,"array([1.93858219, 0.8976887 ])"
957,Kalaikhumb,"array([1.91202889, 0.85378309])"
958,Khorugh,"array([1.86721788, 0.84213756])"
959,Murghab,"array([1.81619937, 0.81862223])"
960,Kulma,"array([1.77498173, 0.7958551 ])"
961,Ishkoshim,"array([1.86557559, 0.77912924])"
962,Lyanga,"array([1.85902844, 0.7260818 ])"
963,China,"array([1.85126574, 0.68189875])"
964,Kokpek,"array([1.6738287 , 1.13604153])"
965,Kegen,"array([1.64004166, 1.0835506 ])"
966,Tyup,"array([1.60796622, 1.04600032])"
967,Chundzha,"array([1.6259233 , 1.13750337])"
968,Koktal,"array([1.59845328, 1.16839746])"
969,Khorgas,"array([1.54958644, 1.1534459 ])"
970,Usharal,"array([1.61409539, 3.19268141])"
971,Druzhba,"array([1.60140352, 3.22761115])"
972,Bakhty,"array([1.50999281, 1.32895592])"
973,Zapadnoe,"array([1.75055321, 1.56452242])"
974,Zhaksy,"array([1.79673583, 1.54514147])"
975,Atbasar,"array([1.84697156, 1.51881965])"
976,Uspenovka,"array([1.79732486, 1.42588348])"
977,Petropavl,"array([1.7085641, 1.5790186])"
978,Haugesund,"array([0.14970281, 2.46544817])"
979,Røldal,"array([0.18873103, 2.44547835])"
980,Haukeli,"array([0.23388596, 2.423435  ])"
981,Seljord,"array([0.2827627 , 2.39880432])"
982,Kongsberg,"array([0.33527499, 2.37204231])"
983,Tresfjord,"array([0.57791333, 1.97604155])"
984,Åndalsnes,"array([0.58034762, 2.04665806])"
985,Portlaoise,"array([1.68068843, 2.62334427])"
986,Hoogeveen,"array([2.36621757, 3.31620855])"
987,Haselünne,"array([2.29678923, 3.32067659])"
988,Cloppenburg,"array([2.24578057, 3.3279553 ])"
989,Cuxhaven,"array([2.35494948, 3.18367661])"
990,Bremerhaven,"array([2.40720437, 3.18816022])"
991,Walsrode,"array([2.4454545 , 3.15968284])"
992,Stralsund,"array([2.45999228, 2.90151042])"
993,Neubrandenburg,"array([2.50945858, 2.91225297])"
994,Ukmergė,"array([2.57672659, 2.39956837])"
995,Daugavpils,"array([2.54092462, 2.33515891])"
996,Ostrov,"array([2.45763819, 2.27085085])"
997,Tartu,"array([2.30942329, 2.31333579])"
998,Võru,"array([2.26095934, 2.34575265])"
999,Luhamaa,"array([2.22328631, 2.37247267])"
1000,Jõhvi,"array([2.31074435, 2.35694947])"
1001,Valga,"array([2.24911135, 2.28876529])"
1002,Valka,"array([2.1966649 , 2.27023824])"
1003,Valmiera,"array([2.15107564, 2.25265428])"
1004,Incukalns,"array([2.11264629, 2.23444242])"
1005,Keila,"array([2.34759178, 2.26665309])"
1006,Paldiski,"array([2.3101461 , 2.23894703])"
1007,Babruysk,"array([2.61982735, 2.36765944])"
1008,Palanga,"array([2.48457312, 2.45174726])"
1009,Panevėžys,"array([2.53047418, 2.39694839])"
1010,Breda,"array([2.35585397, 3.51935448])"
1011,Gorinchem,"array([2.35338509, 3.46795405])"
1012,Flushing,"array([2.3113422 , 3.53774109])"
1013,Hasselt,"array([2.49969506, 3.44432625])"
1014,Heerlen,"array([2.51012326, 3.40078448])"
1015,Barwinek,"array([2.95140646, 2.50589782])"
1016,Vyšný Komárnik,"array([3.01394126, 2.50532871])"
1017,Svidník,"array([3.07466268, 2.52418365])"
1018,Lublin,"array([2.78554726, 2.44325225])"
1019,Kovel,"array([2.79010943, 2.34345827])"
1020,Trosna,"array([2.04599518, 2.4765145 ])"
1021,Glukhkov,"array([2.07460235, 2.45258429])"
1022,Saint-Brieuc,"array([2.6140657 , 3.64583123])"
1023,Roeselare,"array([2.57707631, 3.31676195])"
1024,Kortrijk,"array([2.59036658, 3.21589124])"
1025,Tournai,"array([2.61446111, 3.12978957])"
1026,Jabbeke,"array([2.45992777, 3.51559189])"
1027,Nivelles,"array([2.53682296, 3.67136547])"
1028,Eynatten,"array([2.467636  , 3.47072295])"
1029,Teplice,"array([2.96951235, 2.88748472])"
1030,Olomouc,"array([3.05363682, 2.73192546])"
1031,Svitavy,"array([3.17332677, 2.75910246])"
1032,Český Těšín,"array([2.99374873, 2.68625987])"
1033,Courtney,"array([2.97047838, 3.95178088])"
1034,Troyes,"array([2.98912591, 3.92074546])"
1035,Remiremont,"array([2.93573047, 3.47261072])"
1036,Donaueschingen,"array([2.98105908, 3.3675459 ])"
1037,Memmingen,"array([3.08118164, 1.54753678])"
1038,Füssen,"array([3.11253041, 1.52793647])"
1039,Garmisch-Partenkirchen,"array([3.14422621, 3.20565556])"
1040,Mittenwald,"array([3.19796636, 3.23523813])"
1041,Seefeld,"array([3.25281024, 3.25282425])"
1042,Humpolec,"array([3.14374536, 2.9108832 ])"
1043,Braunau am Inn,"array([3.13452739, 3.11163938])"
1044,Žiar nad Hronom,"array([3.10317666, 2.6340615 ])"
1045,Nyíregyháza,"array([3.23399681, 2.4038969 ])"
1046,Chop,"array([3.17236453, 2.39850819])"
1047,Bacău,"array([3.4738256 , 2.20200814])"
1048,Dunajská Streda,"array([3.2220735 , 2.66564303])"
1049,Medveďov,"array([3.26634708, 2.65427455])"
1050,Vámosszabadi,"array([3.29079259, 2.6176769 ])"
1051,Dej,"array([3.35703237, 2.28685679])"
1052,Buzău,"array([3.45846829, 2.08633068])"
1053,Sărăţel,"array([1.41545137, 2.86096853])"
1054,Reghin,"array([1.42440768, 2.82172946])"
1055,Topliţa,"array([1.43425411, 2.77980766])"
1056,Gheorgheni,"array([1.44364994, 2.73700596])"
1057,Miercurea-Ciuc,"array([1.44957496, 2.69467843])"
