index,_pos
467,"array([6.67278404, 3.83983268])"
468,"array([6.74865883, 3.94929972])"
469,"array([6.70990277, 3.92302247])"
470,"array([6.71317532, 3.90264453])"
471,"array([6.71225009, 3.87365393])"
472,"array([6.72103656, 3.85501667])"
473,"array([6.69600135, 3.840551  ])"
474,"array([6.76256603, 3.92505602])"
475,"array([6.76606652, 3.90345478])"
476,"array([6.74046129, 3.88397572])"
477,"array([6.73537654, 3.86686226])"
478,"array([6.73630475, 3.83687684])"
479,"array([6.72465121, 3.81762935])"
480,"array([6.78724087, 3.9179475 ])"
481,"array([6.78240302, 3.89143566])"
482,"array([6.7879518 , 3.87332627])"
483,"array([6.78330927, 3.84316376])"
484,"array([6.77579841, 3.82101739])"
485,"array([6.77706569, 3.78968346])"
486,"array([6.80817358, 3.8956897 ])"
487,"array([6.82782446, 3.85926293])"
488,"array([6.81868836, 3.84016596])"
489,"array([6.80645105, 3.82264629])"
490,"array([6.79827355, 3.80499475])"
491,"array([6.76400777, 3.75147772])"
492,"array([6.84574892, 3.85459076])"
493,"array([6.82847534, 3.80921728])"
494,"array([6.81795241, 3.78839617])"
495,"array([6.79236766, 3.7417614 ])"
496,"array([6.83148187, 3.76169393])"
497,"array([6.81748243, 3.74680451])"
498,"array([6.89212751, 3.84793756])"
499,"array([6.86431283, 3.83550966])"
500,"array([6.83798323, 3.78006558])"
501,"array([6.84975793, 3.75377899])"
502,"array([6.84414186, 3.72753355])"
503,"array([6.88631441, 3.82881436])"
504,"array([6.87420884, 3.78104782])"
505,"array([6.86740006, 3.74161771])"
506,"array([6.85071886, 3.68664075])"
507,"array([6.92707702, 3.84302696])"
508,"array([6.91382452, 3.82956391])"
509,"array([6.90176109, 3.81534738])"
510,"array([6.89929332, 3.7807652 ])"
511,"array([6.89373414, 3.72224378])"
512,"array([6.86409651, 3.67070299])"
513,"array([6.95044445, 3.82178973])"
514,"array([6.93372075, 3.80251159])"
515,"array([6.93397626, 3.77971758])"
516,"array([6.91643259, 3.75221762])"
517,"array([6.91294073, 3.72812716])"
518,"array([6.88993418, 3.70025599])"
519,"array([5.77761382, 4.98373757])"
520,"array([5.75303095, 4.96470915])"
521,"array([5.73411431, 4.94993808])"
522,"array([5.7055536 , 4.93371778])"
523,"array([5.68641779, 4.92099305])"
524,"array([5.60465202, 4.90695322])"
525,"array([5.78148225, 4.95761097])"
526,"array([5.75848122, 4.93794497])"
527,"array([5.74316327, 4.92815717])"
528,"array([5.70263083, 4.91662903])"
529,"array([5.69490908, 4.88443217])"
530,"array([5.65613728, 4.87800593])"
531,"array([5.7916689 , 4.94037428])"
532,"array([5.76768521, 4.91757231])"
533,"array([5.7508821 , 4.90796164])"
534,"array([5.73531809, 4.89488937])"
535,"array([5.7200651 , 4.87814919])"
536,"array([5.68795998, 4.86934164])"
537,"array([5.8112603 , 4.93800807])"
538,"array([5.77685928, 4.89851692])"
539,"array([5.75879467, 4.88768097])"
540,"array([5.73318806, 4.86021602])"
541,"array([5.71438938, 4.85960675])"
542,"array([5.67770992, 4.83020887])"
543,"array([5.8188944 , 4.87847829])"
544,"array([5.76041813, 4.85706909])"
545,"array([5.75360132, 4.83144318])"
546,"array([5.72769868, 4.81606039])"
547,"array([5.69822643, 4.82796423])"
548,"array([5.78703723, 4.83359744])"
549,"array([5.77059951, 4.82207619])"
550,"array([5.74397983, 4.80790432])"
551,"array([5.70151698, 4.78792183])"
552,"array([5.91856059, 4.8539998 ])"
553,"array([5.91337445, 4.83747944])"
554,"array([5.87319841, 4.81909536])"
555,"array([5.82387568, 4.8351823 ])"
556,"array([5.81010377, 4.79920455])"
557,"array([5.76324656, 4.78342061])"
558,"array([5.96132992, 4.83630713])"
559,"array([5.9229077 , 4.82011903])"
560,"array([5.8963964 , 4.80574089])"
561,"array([5.8539536 , 4.77846206])"
562,"array([5.83581347, 4.76702323])"
563,"array([5.77259578, 4.73203221])"
564,"array([5.9820988 , 4.80070428])"
565,"array([5.96773694, 4.77931968])"
566,"array([5.9362374 , 4.78618119])"
567,"array([5.88455573, 4.75697693])"
568,"array([5.85694009, 4.73147907])"
569,"array([5.81646445, 4.71282338])"
570,"array([6.02675543, 4.78228918])"
571,"array([5.98850365, 4.75546202])"
572,"array([5.95474456, 4.75718604])"
573,"array([5.89753201, 4.71765468])"
574,"array([5.86225857, 4.70633457])"
575,"array([5.82150034, 4.69087864])"
576,"array([6.01030119, 4.77673664])"
577,"array([6.02376274, 4.73429851])"
578,"array([6.01328113, 4.71526939])"
579,"array([5.92521379, 4.69341048])"
580,"array([5.89400553, 4.68597804])"
581,"array([5.85430308, 4.64269527])"
582,"array([6.07013981, 4.66346521])"
583,"array([6.04585896, 4.64046206])"
584,"array([6.03429472, 4.69926235])"
585,"array([5.97413896, 4.68198363])"
586,"array([5.95677544, 4.6669322 ])"
