trackName,artistName,TotalMinutes
Beautiful,Snoop Dogg,49.86
Passionfruit,Drake,49.82
Running Up That Hill (A Deal With God),Kate Bush,49.82
You Always Hurt The One You Love,Molly Nilsson,49.8
Silver Soul,Beach House,49.78
Skrable,PRO8L3M,49.73
Jericho,Flavien Berger,49.59
Runnin',The Pharcyde,49.38
Black Dog - Remaster,Led Zeppelin,49.23
Drop It Like It's Hot,Snoop Dogg,49.21
Fade Out,Still Corners,49.19
Matchboxy,PRO8L3M,49.17
CORSO,"Tyler, The Creator",48.83
W Deszczu Maleńkich Żółtych Kwiatów,Myslovitz,48.82
Goodie Bag,Still Woozy,48.8
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,48.77
The Message,Still Corners,48.75
Doing Yoga,Kazy Lambist,48.6
"The Voice of Q - 12"" Mix",Q,48.54
Soul to Squeeze,Red Hot Chili Peppers,48.26
Drogi proste,Kwiat Jabłoni,48.25
Rebel Yell,Billy Idol,48.09
EQUILIBRIUM,Darius,48.02
Hey Lover,The Daughters Of Eve,48.0
Strzały,Kaz Bałagane,47.73
Spokój,Męskie Granie Orkiestra,47.69
Moja i Twoja Nadzieja,Hey,47.66
Born To Die,Lana Del Rey,47.57
American Boy,Estelle,47.46
4:44,JAY-Z,47.42
The Real Slim Shady,Eminem,47.37
Count Me Out,Kendrick Lamar,47.27
The Passenger,Iggy Pop,47.23
Velvet Light,Jakob,47.2
Myszy i ludzie,Myslovitz,47.09
Kawalerka na Sprzedaż,Bitamina,46.93
Humble Bones,Labyrinth Ear,46.93
Heart-Shaped Box,Nirvana,46.86
But Beautiful,Stan Getz,46.81
Let's Get Blown,Snoop Dogg,46.78
Ryd,Steve Lacy,46.73
Die Trying,Key Glock,46.56
Fly,Ludovico Einaudi,46.49
Can I Call You Tonight?,Dayglow,46.46
No One Knows,Queens of the Stone Age,46.46
Hey You - 2011 Remastered Version,Pink Floyd,46.45
"Andante, Andante",ABBA,46.37
SWIM,Mild Minds,46.28
Biking,Frank Ocean,46.25
PRIDE.,Kendrick Lamar,46.19
Empire State Of Mind,JAY-Z,46.15
LUMBERJACK,"Tyler, The Creator",46.1
TERRITORY,The Blaze,46.06
Tumblr Girls (feat. Christoph Andersson),G-Eazy,46.05
Heart Of Glass - Special Mix,Blondie,45.96
Time,Hans Zimmer,45.93
A-Punk,Vampire Weekend,45.92
Sunflower (feat. Steve Lacy),Vampire Weekend,45.87
Pass Me By,Sharon Jones & The Dap-Kings,45.79
Time Moves Slow,BADBADNOTGOOD,45.64
BLEACH,BROCKHAMPTON,45.53
Orchid (2009 - Remaster),Black Sabbath,45.52
Chateau (Feel Alright),Djo,45.36
List,Hey,45.32
MANIFESTO (feat. Domo Genesis),"Tyler, The Creator",45.15
A Great Design,Black Marble,45.14
The Chain - 2004 Remaster,Fleetwood Mac,45.04
"Hen, hen",Mela Koteluk,45.01
Hello?,Clairo,45.01
Heartbeat,Childish Gambino,44.97
L’after,Miel De Montagne,44.96
The Passion,Jaden,44.95
Our Last Summer,ABBA,44.94
The Pretender,Foo Fighters,44.9
Glue,Bicep,44.86
Days,The Drums,44.85
Don't Forget About Me,CLOVES,44.81
"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",Frédéric Chopin,44.74
Mountain Time,Molly Nilsson,44.67
"Clair de Lune, L. 32",Claude Debussy,44.67
Campbell,redveil,44.61
Dream On,Aerosmith,44.6
