# index, name, nodeLabel, nodeLat, nodeLong, _pos
239,southquay,southquay,51.500863608239,-0.018446287979256,"array([1.85907617, 6.82319634])"
240,highbarnet,highbarnet,51.651688276705,-0.19415092780429,"array([1.46304834, 7.42571264])"
241,totteridge&whetstone,totteridge&whetstone,51.63024674119,-0.17933981753571,"array([1.47714574, 7.41420043])"
242,hillingdon,hillingdon,51.55377757066,-0.44988357245777,"array([1.95494484, 7.65294536])"
243,ickenham,ickenham,51.560825107127,-0.44156508942605,"array([1.9455852 , 7.63435812])"
244,uxbridge,uxbridge,51.546454564696,-0.47708714109832,"array([1.96328643, 7.66922556])"
245,russellsquare,russellsquare,51.523013052867,-0.12457578611157,"array([1.73322132, 7.13619886])"
246,hollandpark,hollandpark,51.507146508744,-0.20654337129402,"array([1.91870249, 7.28608904])"
247,upminsterbridge,upminsterbridge,51.557718771685,0.23455631120919,"array([1.36772505, 6.84734211])"
248,hounslowcentral,hounslowcentral,51.470925810282,-0.36594373417825,"array([2.18384586, 7.51351896])"
249,hounsloweast,hounsloweast,51.473707937461,-0.35526092596841,"array([2.16305758, 7.49787849])"
250,osterley,osterley,51.481216852781,-0.3520816978192,"array([2.14105303, 7.48119389])"
251,shoreditchhighstreet,shoreditchhighstreet,51.523466827911,-0.077073012851082,"array([1.71626844, 6.98928633])"
252,hydeparkcorner,hydeparkcorner,51.502584030904,-0.15245970877887,"array([1.85654823, 7.17554235])"
253,ruislip,ruislip,51.57216197222,-0.42122049909957,"array([1.93542331, 7.61409385])"
254,imperialwharf,imperialwharf,51.474938948929,-0.18282310826897,"array([1.98307138, 7.19494955])"
255,claphamjunction,claphamjunction,51.464366804651,-0.17030060907001,"array([1.98338102, 7.15490048])"
256,islandgardens,islandgardens,51.487950088882,-0.010478902499309,"array([1.90260657, 6.74705756])"
257,oval,oval,51.481412613811,-0.11330667730935,"array([1.89431085, 7.06505793])"
258,kensalgreen,kensalgreen,51.530524241234,-0.22469897011847,"array([1.86934608, 7.31013541])"
259,queenspark,queenspark,51.534312675201,-0.20478373421795,"array([1.84168782, 7.29120886])"
260,kensalrise,kensalrise,51.53421509119,-0.22080656353585,"array([1.8569426 , 7.33581084])"
