endTime,artistName,trackName,msPlayed,district
2023-12-17 22:01:00,Julie London,I Should Care,197173,Targówek
2023-12-17 22:04:00,Betty Carter,Cocktails for Two - Remastered,197920,Targówek
2023-12-17 22:08:00,Etta Jones,Don't Go To Strangers,228360,Targówek
2023-12-17 22:12:00,Nina Simone,If I Should Lose You,235760,Targówek
2023-12-17 22:17:00,John Coltrane,You Are Too Beautiful,336546,Targówek
2023-12-17 22:21:00,Blossom Dearie,Try Your Wings,203733,Targówek
2023-12-17 22:25:00,June Christy,Something Cool - Mono,258893,Targówek
2023-12-17 22:28:00,Eartha Kitt,Let's Do It,185466,Targówek
2023-12-17 22:32:00,Billie Holiday,It Had To Be You,243440,Targówek
2023-12-17 22:35:00,Lorez Alexandria,Give Me The Simple Life,140520,Targówek
2023-12-18 06:34:00,"Tyler, The Creator",SAFARI,177742,Śródmieście
2023-12-18 06:48:00,"Tyler, The Creator",WILSHIRE,412071,Śródmieście
2023-12-18 06:51:00,"Tyler, The Creator",NEW MAGIC WAND,195320,Śródmieście
2023-12-18 06:54:00,"Tyler, The Creator",EARFQUAKE,190066,Śródmieście
2023-12-18 06:59:00,"Tyler, The Creator",ARE WE STILL FRIENDS?,265480,Śródmieście
2023-12-18 07:01:00,"Tyler, The Creator",BEST INTEREST,127921,Śródmieście
2023-12-18 07:04:00,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",207454,Śródmieście
2023-12-18 07:08:00,"Tyler, The Creator",She,234786,Śródmieście
2023-12-18 07:10:00,Steve Lacy,I Think I Should,99253,Śródmieście
2023-12-18 07:12:00,Omar Apollo,Hey Boy (feat. Kali Uchis),102160,Śródmieście
2023-12-18 07:15:00,Men I Trust,Seven,225394,Śródmieście
2023-12-18 07:18:00,Dominic Fike,Why,139906,Śródmieście
2023-12-18 07:19:00,Baby Keem,highway 95,91782,Śródmieście
2023-12-18 07:22:00,Steve Lacy,Static,156506,Śródmieście
2023-12-18 07:24:00,Dreamer Isioma,Valentina,128640,Śródmieście
2023-12-18 07:26:00,Hotel Ugly,Is there free breakfast here?,129200,Śródmieście
2023-12-18 07:30:00,Men I Trust,Show Me How (Album V),215110,Śródmieście
2023-12-18 07:31:00,Malcolm Todd,Out of Bounds,100588,Śródmieście
2023-12-18 07:34:00,Steve Lacy,Out of Me Head,141055,Śródmieście
2023-12-18 07:36:00,Clairo,Hello?,135016,Śródmieście
