re-exports,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North America,279.4040016,288.0980021,355.1970016,372.3590011,420.0130021,401.1370034,472.8670052,635.3730069,1093.3810152,1012.6540196,943.7249612,842.1849795,897.3299708,838.6173156,762.1300548,794.2608677,742.9702453,657.1775487,595.2553298,623.3266028,779.7143263,967.893004,945.1334131,1005.6006927,1078.8871961,1172.0,1251.0,1261.0,1288.0
Canada,279.4040016,288.0980021,355.1970016,372.3590011,420.0130021,401.1370034,472.8670052,635.3730069,1093.3810152,1012.6540196,943.7249612,842.1849795,897.3299708,838.6173156,762.1300548,794.2608677,742.9702453,657.1775487,595.2553298,623.3266028,779.7143263,967.893004,945.1334131,1005.6006927,1078.8871961,1172.0,1251.0,1261.0,1288.0
South America,19.6050001,9.3849995,13.137,44.8320002,62.48099979999999,130.8959999,238.296,212.7569999,75.32600000000001,29.629000100000003,34.1519957,67.31399139999999,76.75499,72.53391080000002,62.89938699999999,89.3623992,83.8150902,71.5510354,82.20252070000001,61.047231700000005,73.7517273,61.8521446,24.0347239,51.34148499999999,57.626718,61.0,35.0,29.0,22.0
Argentina,14.8140001,3.0239999,1.1089998,2.9410001,1.2519996,67.9960001,125.2250003,128.5960002,2.8840001,7.9380001,6.1569994,4.7889997,6.5689993,5.3149995,5.1697528,6.1961345,11.3572087,5.678099,5.3749323,3.8803616,5.1884706,5.302445,4.2504368,4.028735,3.8183169,4.0,4.0,5.0,1.0
Chile,4.556,6.1509997,11.8630003,40.4970001,61.1940002,62.8999998,112.8439996,83.9359997,71.674,21.231,27.4229963,61.7949918,69.0849908,62.8939918,52.3615734,74.860219,61.0755615,57.9927264,70.4754937,51.156401,65.5029165,52.5771215,17.8087853,46.8280487,53.0962237,56.0,30.0,23.0,20.0
Suriname,0.0,0.0,0.0,1.382,0.035,0.0,0.2100001,0.2179999,0.2,0.2,0.209,0.2,1.0999999,4.21161,5.2634833,8.2111467,11.3639933,7.88021,6.3430467,6.0020174,3.0336367,3.9710363,1.1338398,0.017576,0.7059646,1.0,0.0,1.0,0.0
Uruguay,0.235,0.2099999,0.1649999,0.012,0.0,0.0,0.017,0.0070001,0.5679999,0.26,0.363,0.5299999,0.001,0.1133095,0.1045775,0.094899,0.0183267,0.0,0.009048,0.0084517,0.0267035,0.0015418,0.841662,0.4671253,0.0062128,0.0,0.0,0.0,1.0
   Austria,415.0,756.0,960.0,535.0,381.0,229.0,163.0,222.0,210.0,398.0,409.0,440.0,528.0,620.0,543.0,806.0,991.0,1120.0,992.0,415.0,463.0,365.0,304.0,311.0,,,,,
   Belgium,,,,,,,,,,2169.0,2357.0,2324.0,2308.0,2238.0,2572.0,2905.0,3067.0,2911.0,6142.0,4981.0,5053.0,4894.0,4754.0,4257.0,,,,,
   Belgium/Luxembourg,891.0,1038.0,1131.0,1274.0,1304.0,1328.0,1487.0,1658.0,2270.0,,,,,,,,,,,,,,,,,,,,
   Bulgaria,166.0,183.0,7.0,70.0,110.0,122.0,26.0,19.0,18.0,4.0,6.0,5.0,3.0,3.0,3.0,11.0,14.0,29.0,72.0,114.0,133.0,122.0,184.0,191.0,,,,,
   Croatia,,,34.0,31.0,30.0,32.0,17.0,24.0,19.0,15.0,17.0,15.0,16.0,17.0,18.0,18.0,18.0,27.0,28.0,28.0,24.0,24.0,24.0,26.0,,,,,
   Cyprus,16.0,7.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,6.0,7.0,9.0,18.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,,,,,
   Czech Republic,0.0,0.0,3.0,66.0,45.0,42.0,50.0,76.0,241.0,170.0,249.0,266.0,246.0,351.0,324.0,407.0,309.0,358.0,416.0,405.0,481.0,380.0,441.0,546.0,,,,,
   Denmark,94.0,74.0,103.0,103.0,125.0,119.0,111.0,141.0,160.0,225.0,231.0,235.0,271.0,278.0,271.0,199.0,182.0,201.0,212.0,184.0,208.0,147.0,113.0,99.0,,,,,
   Estonia,,,3.0,7.0,20.0,25.0,33.0,42.0,45.0,36.0,8.0,54.0,9.0,19.0,47.0,76.0,87.0,176.0,181.0,234.0,158.0,100.0,53.0,36.0,,,,,
   Finland,19.0,21.0,35.0,198.0,217.0,97.0,172.0,205.0,186.0,215.0,172.0,148.0,119.0,122.0,129.0,54.0,121.0,150.0,170.0,185.0,193.0,194.0,156.0,181.0,,,,,
   France,913.0,1007.0,1023.0,976.0,1165.0,1081.0,1182.0,1166.0,1193.0,1141.0,1073.0,1267.0,1264.0,1328.0,1040.0,1028.0,957.0,901.0,964.0,1014.0,1060.0,1043.0,1019.0,1014.0,,,,,
   Germany,3292.0,3252.0,3318.0,3282.0,3469.0,3220.0,3613.0,3935.0,4063.0,3972.0,4825.0,5344.0,6288.0,6518.0,7011.0,8356.0,9177.0,10697.0,10471.0,10819.0,11542.0,11683.0,12590.0,12020.0,,,,,
   Greece,11.0,20.0,29.0,227.0,146.0,139.0,51.0,50.0,37.0,92.0,111.0,320.0,71.0,69.0,71.0,60.0,41.0,66.0,78.0,72.0,68.0,132.0,168.0,169.0,,,,,
   Hungary,0.0,261.0,174.0,111.0,47.0,72.0,32.0,73.0,63.0,105.0,157.0,186.0,190.0,218.0,270.0,282.0,303.0,371.0,317.0,259.0,351.0,460.0,496.0,381.0,,,,,
   Ireland,10.0,5.0,4.0,3.0,3.0,8.0,11.0,9.0,10.0,7.0,72.0,34.0,34.0,75.0,36.0,30.0,52.0,17.0,16.0,8.0,8.0,30.0,37.0,38.0,,,,,
   Italy,383.0,402.0,465.0,664.0,786.0,749.0,826.0,826.0,946.0,1023.0,1156.0,1290.0,1341.0,1410.0,1559.0,1708.0,1938.0,2188.0,2277.0,2272.0,2446.0,2663.0,2964.0,3183.0,,,,,
   Latvia,,,1.0,18.0,17.0,15.0,16.0,24.0,25.0,17.0,19.0,6.0,19.0,27.0,33.0,47.0,40.0,20.0,39.0,44.0,39.0,40.0,56.0,66.0,,,,,
   Lithuania,,,0.0,0.0,10.0,45.0,83.0,79.0,50.0,48.0,39.0,63.0,55.0,48.0,59.0,90.0,103.0,105.0,187.0,201.0,153.0,109.0,143.0,165.0,,,,,
   Luxembourg,,,,,,,,,,84.0,88.0,76.0,80.0,99.0,95.0,104.0,102.0,109.0,113.0,108.0,117.0,111.0,111.0,137.0,,,,,
   Malta,1.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
   Netherlands,585.0,633.0,648.0,425.0,678.0,617.0,575.0,557.0,901.0,1094.0,1106.0,1117.0,1186.0,1433.0,1181.0,1061.0,1164.0,1239.0,981.0,1604.0,1236.0,1769.0,1347.0,1781.0,,,,,
   Poland,100.0,7.0,137.0,126.0,100.0,134.0,169.0,287.0,328.0,418.0,531.0,497.0,442.0,422.0,406.0,524.0,661.0,709.0,779.0,1161.0,1123.0,1370.0,1607.0,1615.0,,,,,
   Portugal,31.0,34.0,40.0,38.0,52.0,74.0,99.0,108.0,96.0,99.0,123.0,116.0,114.0,110.0,83.0,107.0,114.0,152.0,149.0,166.0,197.0,210.0,228.0,212.0,,,,,
   Romania,0.0,0.0,3.0,6.0,0.0,2.0,0.0,1.0,11.0,5.0,1.0,1.0,1.0,0.0,10.0,17.0,19.0,16.0,19.0,37.0,43.0,42.0,54.0,80.0,,,,,
   Slovakia,,,,13.0,23.0,27.0,16.0,18.0,17.0,20.0,23.0,33.0,25.0,17.0,15.0,14.0,66.0,152.0,270.0,246.0,318.0,389.0,571.0,470.0,,,,,
   Slovenia,,,7.0,5.0,7.0,8.0,11.0,10.0,12.0,11.0,14.0,11.0,12.0,10.0,11.0,9.0,11.0,10.0,11.0,12.0,13.0,15.0,36.0,74.0,,,,,
   Spain,265.0,268.0,287.0,168.0,237.0,397.0,595.0,779.0,700.0,639.0,753.0,1237.0,1166.0,1365.0,1437.0,1453.0,1461.0,1520.0,1441.0,1445.0,1803.0,1672.0,1659.0,1636.0,,,,,
   Sweden,77.0,114.0,138.0,138.0,224.0,217.0,225.0,232.0,192.0,176.0,171.0,181.0,239.0,257.0,262.0,523.0,505.0,525.0,532.0,526.0,505.0,522.0,520.0,534.0,,,,,
   United Kingdom,482.0,485.0,570.0,629.0,817.0,633.0,552.0,511.0,537.0,645.0,652.0,771.0,778.0,759.0,838.0,885.0,949.0,989.0,900.0,892.0,1193.0,1264.0,1200.0,1380.0,,,,,
Japan,20.0,34.0,27.0,34.0,27.0,7.0,6.0,19.0,9.0,8.0,32.0,78.0,99.0,137.0,87.0,63.0,47.0,87.0,179.0,126.0,143.0,80.0,71.0,92.0,111.0,117.0,111.0,113.0,124.0
Norway,8.0,4.0,3.0,3.0,6.0,5.0,7.0,9.0,4.0,5.0,5.0,6.0,6.0,8.0,7.0,10.0,10.0,8.0,7.0,9.0,14.0,10.0,12.0,18.0,14.0,12.0,18.0,19.0,9.0
Russian Federation,,,5.0,0.0,14.0,78.0,65.0,328.0,85.0,16.0,27.0,25.0,53.0,93.0,129.0,151.0,244.0,340.0,421.0,440.0,455.0,463.0,479.0,762.0,726.0,864.0,794.0,956.0,1054.0
Switzerland,166.0,151.0,155.0,166.0,196.0,175.0,243.0,280.0,254.0,302.0,313.0,381.0,442.0,423.0,512.0,567.0,621.0,842.0,883.0,1066.0,1313.0,1414.0,1425.0,1547.0,1616.0,1641.0,1748.0,1861.0,1946.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,9.0,0.0,0.0,0.0,3.0,13.0,18.0,10.0,0.0,1.0,0.0,0.0,0.0
USA,825.0,1010.0,1377.0,1720.0,2572.0,1841.0,2049.0,2446.0,2447.0,2168.0,2055.0,2056.0,2192.0,2798.0,2626.0,2452.0,2721.0,2707.0,2861.0,2802.0,3191.0,3728.0,3384.0,3248.0,3361.0,2958.0,3175.0,2929.0,2902.0
