com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
47385,4,0,71,2023-12-17 14:52:00.000,,,2023-12-17 14:53:18.170,2023-12-17 14:52:42.625,71,1.0853423,51.43001,2.7499995,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:53:00.000,bda02685-cdaf-4db2-b0bc-2878dc3b2e15,
58935,4,0,101,2023-12-17 14:53:00.000,,,2023-12-17 14:53:59.387,2023-12-17 14:53:18.199,101,1.2853,75.74999,4.0399976,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:54:00.000,22347a5b-9187-4d51-893c-dbe2c29e4c69,
60000,4,0,101,2023-12-17 14:54:00.000,,,2023-12-17 14:54:59.479,2023-12-17 14:54:00.040,101,1.2531662,75.18997,4.039998,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:55:00.000,30a7b123-3f68-4f4a-b4e4-707dfeeb5b34,
37448,4,0,50,2023-12-17 14:55:00.000,,,2023-12-17 14:55:39.338,2023-12-17 14:55:00.172,57,1.0980502,41.119995,2.4,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:56:00.000,83ebb1f3-a20a-40b9-a89e-f122ab9565fb,
20007,4,0,26,2023-12-17 14:57:00.000,,,2023-12-17 14:57:27.136,2023-12-17 14:57:23.206,26,0.9171467,18.349998,1.0200001,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 14:58:00.000,61ad0fb8-25bb-4109-956e-eb8560c5cafa,
11187,4,0,18,2023-12-17 15:00:00.000,,,2023-12-17 15:03:20.203,2023-12-17 15:00:37.351,18,1.1906583,13.32,0.65999997,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:01:00.000,77879ba4-55de-4280-8dec-680fa5ffb7c5,
20327,4,0,25,2023-12-17 15:02:00.000,,,2023-12-17 15:03:20.258,2023-12-17 15:03:20.258,35,1.1944444,24.28,1.36,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:03:00.000,adb3537e-b3cc-4976-a487-ae03c612ee87,
54657,4,0,95,2023-12-17 15:03:00.000,,,2023-12-17 15:05:32.215,2023-12-17 15:03:20.287,101,1.3591881,74.289986,3.8199975,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:04:00.000,25d9e709-20c1-48c3-a1c8-98c1a5118eae,
60000,4,0,104,2023-12-17 15:04:00.000,,,2023-12-17 15:05:32.289,2023-12-17 15:05:32.289,104,1.3025,78.15,4.15,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:05:00.000,fbf56b95-41d0-4ae4-becb-be76c938b374,
33407,4,0,57,2023-12-17 15:05:00.000,,,2023-12-17 15:05:32.845,2023-12-17 15:05:32.310,57,1.279661,42.75,2.27,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:06:00.000,34ced316-5f54-41ef-9f13-f45e103d4b95,
57506,4,0,98,2023-12-17 15:06:00.000,,,2023-12-17 15:07:26.481,2023-12-17 15:07:26.481,98,1.2777778,73.48,3.89,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:07:00.000,503ef216-71ae-4612-9f6a-cd400e5e2ec1,
60000,4,0,103,2023-12-17 15:07:00.000,,,2023-12-17 15:09:17.183,2023-12-17 15:07:26.505,103,1.2791673,76.75004,4.119999,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:08:00.000,f7b59491-03c8-4e0f-b8d7-8caf36b6f5c4,
60000,4,0,98,2023-12-17 15:08:00.000,,,2023-12-17 15:09:17.229,2023-12-17 15:09:17.229,98,1.2088333,72.53,3.92,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:09:00.000,b4c24158-d1e3-4625-9c37-17f1b0e26946,
35263,4,0,56,2023-12-17 15:09:00.000,,,2023-12-17 15:15:02.165,2023-12-17 15:09:17.263,56,1.1666338,41.14,2.19,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:10:00.000,f47254fd-68e3-4d34-8d97-d21c36084d2c,
5292,4,0,8,2023-12-17 15:13:00.000,,,2023-12-17 15:15:02.248,2023-12-17 15:15:02.248,8,1.1111112,5.88,0.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:14:00.000,59c70913-01c9-43b0-b99c-6261989f93ac,
27920,4,0,45,2023-12-17 15:47:00.000,,,2023-12-17 15:47:59.794,2023-12-17 15:47:58.395,45,1.1944445,33.350002,1.6599998,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:48:00.000,c7e73ff5-6b21-4834-a442-46ac4c8f4f20,
60000,4,0,95,2023-12-17 15:48:00.000,,,2023-12-17 15:48:59.750,2023-12-17 15:48:00.376,95,1.1628336,69.77001,3.7999976,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:49:00.000,ec2fa2d2-79e9-40cb-8c9c-d488d0162e4b,
60000,4,0,104,2023-12-17 15:49:00.000,,,2023-12-17 15:50:19.174,2023-12-17 15:49:00.439,104,1.2886671,77.32003,4.1599975,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:50:00.000,c3625d05-a938-46e2-a756-c590d9b4231c,
57883,4,0,94,2023-12-17 15:50:00.000,,,2023-12-17 15:55:01.144,2023-12-17 15:50:19.197,94,1.2039733,69.69005,3.7599978,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-17 15:51:00.000,904206e9-060a-475f-9858-931df33bec5b,
