"","Activity.Date","Activity.Type","Elapsed.Time","Distance","Moving.Time","srednia_predkosc_km_h","max_predkosc_km_h","Elevation.Gain","Elevation.Loss","Elevation.High","Elevation.Low","Max.Grade","Average.Grade","startTime","avgSpeed","Dystans","Osoba","Kalorie","Czas"
"84","Aug 19, 2022, 10:41:37 AM","Ride",17521,48.7,8297,21.1301593780518,34.395467376709,59.1815223693848,59.0815200805664,87.9000015258789,75.5,35.7763977050781,0.00020534239592962,2022-08-19 10:41:37,21.1301593780518,48.7,"Kuba",NA,138.283333333333
"85","Aug 22, 2022, 10:05:54 AM","Hike",14043,13.91,11450,4.37545580863953,20.27900390625,319.681121826172,330.381103515625,1238.80004882812,923.900024414062,39.3006401062012,-0.076887808740139,2022-08-22 10:05:54,4.37545580863953,13.91,"Kuba",NA,190.833333333333
"86","Aug 25, 2022, 7:28:05 AM","Hike",23674,21.07,18083,4.1962984085083,11.9587503433228,662.68994140625,662.68994140625,1578.69995117188,979.200012207031,49.9918632507324,0,2022-08-25 07:28:05,4.1962984085083,21.07,"Kuba",NA,301.383333333333
"87","Aug 26, 2022, 5:20:30 AM","Hike",27010,18.76,19995,3.37787640094757,14.3891012191772,1535.15258789062,1505.25256347656,2055.10009765625,988.900024414062,49.7975387573242,0.159370705485344,2022-08-26 05:20:30,3.37787640094757,18.76,"Kuba",NA,333.25
"88","Aug 27, 2022, 8:09:56 AM","Hike",14726,12.61,10555,4.3007363319397,17.3126953125,528.239440917969,528.339416503906,1479.40002441406,1078.59997558594,49.7653579711914,-0.000793051614891738,2022-08-27 08:09:56,4.3007363319397,12.61,"Kuba",NA,175.916666666667
"89","Aug 29, 2022, 9:34:07 AM","Ride",18901,80.25,16725,17.2753744125366,49.1596881866455,114.213790893555,113.913795471191,119.900001525879,80.6999969482422,12.3193264007568,0.000373792136088014,2022-08-29 09:34:07,17.2753744125366,80.25,"Kuba",NA,278.75
"90","Sep 1, 2022, 1:03:03 PM","Ride",13961,61.28,12063,18.2886451721191,43.4081256866455,88.764762878418,88.4647674560547,119.900001525879,80.6999969482422,12.6755084991455,0.000489538593683392,2022-09-01 13:03:03,18.2886451721191,61.28,"Kuba",NA,201.05
"91","Sep 2, 2022, 2:05:25 PM","Ride",14743,57.45,9728,21.2629737854004,46.8140625,85.2583084106445,85.2583084106445,119.5,80.6999969482422,11.2247133255005,0,2022-09-02 14:05:25,21.2629737854004,57.45,"Kuba",NA,162.133333333333
"92","Sep 5, 2022, 10:45:11 AM","Ride",26801,150.28,21526,25.1340923309326,49.168123626709,350.663421630859,347.963409423828,124.5,78.4000015258789,14.6923780441284,0.00179655174724758,2022-09-05 10:45:11,25.1340923309326,150.28,"Kuba",NA,358.766666666667
"93","Sep 8, 2022, 11:51:00 AM","Ride",10860,61.25,10649,20.7061437606812,52.5824993133545,90.9671401977539,90.9671401977539,119.900001525879,80.6999969482422,13.9455251693726,0,2022-09-08 11:51:00,20.7061437606812,61.25,"Kuba",NA,177.483333333333
